id_publicacao,itens_apriori
Quero saber: O que fazer se um carrapato me picar?,"desempenho:alto, retencao:desconhecida, duracao:curta"
"Aula Magna: formação universitária, relações étnico-raciais e esperança","desempenho:baixo, retencao:desconhecida, duracao:longa"
"Aula Magna:""Cartas à juventude universitária: como cuidar (e receber cuidado) da nossa saúde mental""","desempenho:baixo, retencao:desconhecida, duracao:longa"
Segundo Debate - Pesquisa Eleitoral - Gestão 2025-2029,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Quero saber – O que é ser uma pessoa trans? E quais as origens da transfobia?,"desempenho:baixo, retencao:desconhecida, duracao:curta"
Primeiro Debate - Pesquisa eleitoral - Gestão 2025-2029,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Ética na Pesquisa,"desempenho:baixo, retencao:desconhecida, duracao:longa"
"Conexão Federal: Mulheres da família Prestes, com Anita Prestes","desempenho:baixo, retencao:desconhecida, duracao:longa"
Reunião Extraordinária do ConsUni,"desempenho:baixo, retencao:desconhecida, duracao:longa"
UFSCar 55 anos,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Quero saber - O que faz um Gestor Ambiental?,"desempenho:baixo, retencao:desconhecida, duracao:media"
Audiência pública - ConsUni,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Cerimônia solene de posse da Gestão 2025-2029,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Conferência IEAE - Universidade para o futuro,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Conheça a UFSCar,"desempenho:baixo, retencao:desconhecida, duracao:media"
"#6 - Conheça como funciona a Eletroterapia, recurso fisioterapêutico usado com finalidades variadas","desempenho:baixo, retencao:desconhecida, duracao:longa"
SEGrad: Mesa Redonda: A Utilização da Inteligência Artificial no Ensino de Graduação,"desempenho:baixo, retencao:desconhecida, duracao:longa"
"Abertura e Mesa: Ensino, Extensão e Pesquisa na UFSCar: um olhar para o futuro da indissociabilidade","desempenho:baixo, retencao:desconhecida, duracao:longa"
SeGrad | UFSCar 2025: Interprofissionalidade no Ensino da Graduação,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Anita no acervo de Prestes: histórias que viajam no tempo,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Roda de conversa –  Ciência e Humano,"desempenho:baixo, retencao:desconhecida, duracao:longa"
PIBID forma licenciandos para a docência em sala de aula,"desempenho:baixo, retencao:desconhecida, duracao:media"
ICC Entrevista - Vera Cêpeda sobre o Prêmio Nobel de Economia 2024,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Universidade para o Futuro - Os desafios para a Pós-Graduação,"desempenho:baixo, retencao:desconhecida, duracao:longa"
"ICC Entrevista - André Moura, sobre o Prêmio Nobel de Química 2024","desempenho:baixo, retencao:desconhecida, duracao:longa"
Reunião Extraordinária do ConsUni,"desempenho:baixo, retencao:desconhecida, duracao:longa"
281ª Reunião Ordinária do Conselho Universitário,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Quero saber - Quem tem Doença Pulmonar Obstrutiva Crônica deve praticar atividades físicas?,"desempenho:baixo, retencao:desconhecida, duracao:media"
279ª Reunião Ordinária do Conselho Universitário,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Palestra Bolsas de Estudos no Japão - MEXT 2026,"desempenho:baixo, retencao:desconhecida, duracao:longa"
116ª Reunião Ordinária do CoG,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Como prevenir a violência nas escolas?,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Homenagem Prof. Elson Longo - A química em materiais: da teoria à inovação,"desempenho:baixo, retencao:desconhecida, duracao:longa"
UFSCar conta Sua História - Oswaldo Baptista Duarte Filho,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Quero saber – Ecoturismo é apenas o turismo na natureza?,"desempenho:baixo, retencao:desconhecida, duracao:longa"
20ª Reunião Ordinária do Conselho de Gestão de Pessoas,"desempenho:baixo, retencao:desconhecida, duracao:longa"
280ª Reunião Ordinária do Conselho Universitário,"desempenho:baixo, retencao:desconhecida, duracao:longa"
2ª chamada SiSU - Entenda a lista e a movimentação das vagas!,"desempenho:baixo, retencao:desconhecida, duracao:media"
Reunião extraordinária do ConsUni,"desempenho:baixo, retencao:desconhecida, duracao:longa"
"Workshop ""Biologia Quântica - o surgimento de um novo paradigma""","desempenho:baixo, retencao:desconhecida, duracao:longa"
Quero saber - O que é voyeurismo?,"desempenho:baixo, retencao:desconhecida, duracao:curta"
Sessão Pública de Apuração,"desempenho:baixo, retencao:desconhecida, duracao:longa"
163ª Reunião Ordinária do conselho de Pós-Graduação da UFSCar,"desempenho:baixo, retencao:desconhecida, duracao:longa"
19ª Reunião Ordinária do Conselho de Gestão de Pessoas (CoGePe) da UFSCar,"desempenho:baixo, retencao:desconhecida, duracao:longa"
CORPOREIDADES DISSIDENTES NA UNIVERSIDADE EM TEMPOS DE REAFIRMAÇÃO DA DEMOCRACIA,"desempenho:baixo, retencao:desconhecida, duracao:longa"
"IMPORTÂNCIA DOS FEMINISMOS PARA A CONSTRUÇÃO DA JUSTIÇA SOCIAL, NO COTIDIANO DAS MULHERES","desempenho:baixo, retencao:desconhecida, duracao:longa"
Reunião Extraordinária do CoG,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Max e sua turma em: Descobrindo o Mar - Episódio 1 - O mar que a gente respira,"desempenho:baixo, retencao:desconhecida, duracao:media"
Palestra: Pedagogia do arquivo: produção e difusão do conhecimento na era da inteligência artificial,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Palestra –  Reconhecimento de saberes e reexistência epistemológica  transformar a universidade,"desempenho:baixo, retencao:desconhecida, duracao:longa"
21ª Reunião Ordinária do CoGePe - Conselho de Gestão de Pessoas,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Feira de Oportunidades 24 - Da UFSCar à Liderança na Amdocs: Inspire-se com essa Jornada de Sucesso!,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Diálogos Avançados - De Que Falamos Quando Falamos de Antropoceno,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Quero saber - Como o PNLD contribui para a qualidade do livro didático no Brasil?,"desempenho:baixo, retencao:desconhecida, duracao:media"
Venha estudar na UFSCar! Esta Universidade é para você!,"desempenho:baixo, retencao:desconhecida, duracao:media"
Debate em 28/5 abordará inclusão epistemológica e Ciência antirracista,"desempenho:baixo, retencao:desconhecida, duracao:longa"
72ª Reunião Ordinária do Conselho de Administração,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Îandê YBY (Somos a Terra) e Não Donos Dela - Já somos um outro mundo possível,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Max e sua turma em: Descobrindo o Mar - Episódio 2 – O plástico a caminho do mar,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Reunião Extraordinária do ConsUni em conjunto com o CoAd,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Conferência IEAE - Universidade para o Futuro,"desempenho:baixo, retencao:desconhecida, duracao:longa"
22ª Reunião Ordinária do Conselho de Gestão de Pessoas,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Quero saber - Genética da Conservação: o que é e para que serve?,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Lançamento do livro de 30 anos da EdUFSCar,"desempenho:baixo, retencao:desconhecida, duracao:longa"
282ª Reunião Ordinária do Conselho Universitário,"desempenho:baixo, retencao:desconhecida, duracao:longa"
UFSCar conta Sua História - Luiz Antônio Tonin,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Quero saber – Quais os tipos de assédio mais comuns?,"desempenho:baixo, retencao:desconhecida, duracao:curta"
ICC Entrevista - Prêmio Nobel de Literatura 2024,"desempenho:baixo, retencao:desconhecida, duracao:media"
73ª Reunião Ordinária do Conselho de Administração - CoAd,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Quero saber - O que é Linguagem Simples?,"desempenho:baixo, retencao:desconhecida, duracao:media"
"Quero saber - Acupuntura, fitoterápicos, aromaterapia: a que - e quem - servem as PICs no SUS?","desempenho:baixo, retencao:desconhecida, duracao:longa"
278ª Reunião Ordinária do ConsUni,"desempenho:baixo, retencao:desconhecida, duracao:longa"
80ª Reunião Ordinária do CoACE,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Unidade Saúde Escola da UFSCar comemora 20 anos,"desempenho:baixo, retencao:desconhecida, duracao:media"
"Max e sua turma em: Descobrindo o Mar - Episódio 3 – Vento quente, chuva fria","desempenho:baixo, retencao:desconhecida, duracao:media"
Reitora da UFSCar fala de investimentos na consolidação dos 4 campi da UFSCar,"desempenho:baixo, retencao:desconhecida, duracao:media"
Quero saber - O que faz um Gestor Ambiental?,"desempenho:baixo, retencao:boa, duracao:curta"
Quero saber - Como e por que a transfobia mata?,"desempenho:baixo, retencao:desconhecida, duracao:media"
Anita no acervo de Prestes: histórias que viajam no tempo,"desempenho:baixo, retencao:boa, duracao:curta"
Reunião Extraordinária do Conselho Universitário,"desempenho:baixo, retencao:desconhecida, duracao:longa"
117ª Reunião Ordinária do CoG,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Quero saber - Gordofobia: é crime ou é bobagem?,"desempenho:baixo, retencao:desconhecida, duracao:media"
Diálogos Avançados - Vida e Energia,"desempenho:baixo, retencao:desconhecida, duracao:longa"
113ª Reunião Ordinária do Conselho de Graduação,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Quero saber - Livro didático em escola pública: presta ou não presta?,"desempenho:baixo, retencao:desconhecida, duracao:longa"
2ª Sessão da 113ª Reunião Ordinária do Conselho de Graduação,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Quero saber – De onde surge e como se perpetua o machismo?,"desempenho:baixo, retencao:desconhecida, duracao:media"
162a Reunião Ordinária do Conselho de Pós-Graduação da UFSCar,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Conselhos Superiores - Sessão Pública de apuração dos votos,"desempenho:baixo, retencao:desconhecida, duracao:longa"
"Diálogos Avançados - Urbanização Planetária, Ecologias e Desigualdades","desempenho:baixo, retencao:desconhecida, duracao:longa"
Inspirando Novas Gerações: O Papel da Educação na Construção de um Futuro Mais Justo,"desempenho:baixo, retencao:desconhecida, duracao:longa"
2ª Sessão da 112ª Reunião Ordinária do CoG,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Projeto no Colégio de Aplicação da UFSCar envolve crianças na prática de compostagem,"desempenho:baixo, retencao:desconhecida, duracao:media"
Reunião Conselho de Ações Afirmativas Diversidade e Equidade (CAADE),"desempenho:baixo, retencao:desconhecida, duracao:longa"
Conheça a FAI UFSCar!,"desempenho:baixo, retencao:desconhecida, duracao:media"
Constituição da cédula de votação e lista de votantes,"desempenho:baixo, retencao:desconhecida, duracao:longa"
I Encontro de pesquisas em terapia ocupacional  PPGTO - UFSCar (1º dia),"desempenho:baixo, retencao:desconhecida, duracao:longa"
Quero saber - Esportes Paralímpicos,"desempenho:baixo, retencao:desconhecida, duracao:media"
Feira do Livro EdUFSCar - Desbravando uma teoria incógnita: Debate sobre a educação soviética,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Live lançamento capacitação 4.0 - 2024,"desempenho:baixo, retencao:desconhecida, duracao:longa"
"Quero saber – Afinal, o que é ecoturismo?","desempenho:baixo, retencao:desconhecida, duracao:curta"
Sob o nascer do Sol - Vídeo 1,"desempenho:baixo, retencao:desconhecida, duracao:media"
18a. Reunião Ordinária CoGePe,"desempenho:baixo, retencao:desconhecida, duracao:longa"
UFSCar conta Sua História - Elisabeth Márcia Martucci,"desempenho:baixo, retencao:desconhecida, duracao:longa"
UFSCar conta Sua História - Carlos Eduardo Santa Maria,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Ética na Pesquisa,"desempenho:baixo, retencao:boa, duracao:curta"
81ª Reunião Ordinária do CoACE,"desempenho:baixo, retencao:desconhecida, duracao:longa"
I Encontro de pesquisas em terapia ocupacional PPGTO - UFSCar (2º dia),"desempenho:baixo, retencao:desconhecida, duracao:longa"
112ª Reunião Ordinária do CoG,"desempenho:baixo, retencao:desconhecida, duracao:longa"
115ª Reunião Ordinária do CoG,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Quero saber – O que é a Síndrome de Burnout?,"desempenho:baixo, retencao:desconhecida, duracao:media"
156ª Reunião Ordinária do Conselho de Extensão,"desempenho:baixo, retencao:desconhecida, duracao:longa"
MESACAST – O Rastro e o Lastro da Poluição Plástica: da Ciência às decisões políticas sobre praias,"desempenho:baixo, retencao:desconhecida, duracao:longa"
114ª Reunião Ordinária do Conselho de Graduação,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Quero saber – Quais as origens do machismo?,"desempenho:baixo, retencao:desconhecida, duracao:curta"
Conheça o UFSCar+Escola,"desempenho:baixo, retencao:desconhecida, duracao:media"
Reitora da UFSCar avalia anúncio referente ao Novo PAC e à implantação de novos campi no País,"desempenho:baixo, retencao:desconhecida, duracao:media"
UFSCar recebe estudantes estrangeiros pelo GCUB-MOB,"desempenho:baixo, retencao:desconhecida, duracao:curta"
Reunião do Colégio  Eleitoral,"desempenho:baixo, retencao:desconhecida, duracao:longa"
55 anos de UFSCar pelo mundo,"desempenho:baixo, retencao:desconhecida, duracao:media"
"Aula Magna da UFSCar com o Ministro dos Direitos Humanos e da Cidadania, Silvio Almeida","desempenho:baixo, retencao:desconhecida, duracao:longa"
"Quero saber - De Dubai a Belém, via Azerbaijão: o que decidem as COPs?","desempenho:baixo, retencao:desconhecida, duracao:media"
Egressos e egressas - Vídeo 2,"desempenho:baixo, retencao:desconhecida, duracao:media"
Diálogos Avançados - Abertura - As Ciências Diante do Antropoceno,"desempenho:baixo, retencao:desconhecida, duracao:longa"
#16 – Estudos apontam os benefícios de sensores e biossensores eletroquímicos para detecção de doenç,"desempenho:baixo, retencao:desconhecida, duracao:longa"
"Qual(is) escola(s), para quem e para o quê? Reflexões sobre Educação brasileira em tempo de pandemia","desempenho:baixo, retencao:desconhecida, duracao:longa"
79ª Reunião Ordinária do CoACE,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Diálogos Avançados - Biodiversidade Morte e Vida das Espécies,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Dia Internacional das Mulheres e Meninas na Ciência com a cientista Sonia Guimarães,"desempenho:baixo, retencao:desconhecida, duracao:media"
Quero saber - E os direitos das pessoas trans no Brasil?,"desempenho:baixo, retencao:desconhecida, duracao:curta"
71ª Reunião Ordinária do Conselho de Administração,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Política de Saúde Mental na UFSCar,"desempenho:baixo, retencao:desconhecida, duracao:media"
UFSCar conta Sua História - Luciana Pankararu,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Quero saber - Livro didático em escola pública: presta ou não presta?,"desempenho:baixo, retencao:boa, duracao:curta"
Hedging Language: A proxy of Deception in public discourse,"desempenho:baixo, retencao:desconhecida, duracao:longa"
VOCÊ NA UFSCAR – COMO FAZER A MATRÍCULA?,"desempenho:baixo, retencao:desconhecida, duracao:curta"
Reitora da UFSCar apresenta obras na Universidade incluídas no Novo PAC,"desempenho:baixo, retencao:desconhecida, duracao:media"
Obras do Novo PAC avançam e fortalecem infraestrutura da UFSCar,"desempenho:baixo, retencao:desconhecida, duracao:media"
77ª Reunião Ordinária do CoACE,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Max and his friends - Discovering the sea: Episode 1 - The sea we breathe,"desempenho:baixo, retencao:desconhecida, duracao:media"
Quero saber - Que prejuízos causa a não regulamentação da profissão de Gestor ou Gestora Ambiental?,"desempenho:baixo, retencao:desconhecida, duracao:curta"
Estudantes falam do papel da Iniciação Científica em sua formação,"desempenho:baixo, retencao:desconhecida, duracao:media"
Quero saber: Existe vacina contra a febre maculosa?,"desempenho:baixo, retencao:desconhecida, duracao:curta"
Quero saber – Como Surgiram os Jogos Paralímpicos?,"desempenho:baixo, retencao:desconhecida, duracao:media"
Sob o pôr do Sol - Vídeo 3,"desempenho:baixo, retencao:desconhecida, duracao:media"
Reunião extraordinária do Conselho Universitário,"desempenho:baixo, retencao:desconhecida, duracao:longa"
78ª Reunião Ordinária CoACE,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Pró-Reitoria de Extensão está com quatro editais abertos,"desempenho:baixo, retencao:desconhecida, duracao:media"
Trilhas da Inovação - Ep.2 - Escala TRL - Grau de maturidade tecnológica,"desempenho:baixo, retencao:desconhecida, duracao:curta"
Quero saber - Quais são os desafios para a implementação segura das PICs no SUS?,"desempenho:baixo, retencao:desconhecida, duracao:curta"
Reunião Extraordinária do Conselho Universitário,"desempenho:baixo, retencao:desconhecida, duracao:longa"
161ª Reunião Ordinária do conselho de Pós-Graduação da UFSCar,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Quero saber -  Como a doença afeta o cérebro?,"desempenho:baixo, retencao:desconhecida, duracao:curta"
Físico brasileiro comenta Nobel para a Mecânica Quântica,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Estudantes da UFSCar destacam a importância da iniciação científica,"desempenho:baixo, retencao:desconhecida, duracao:media"
IV SIMPOSIO DE PESQUISA EM JUVENTUDE NO BRASIL - Abertura,"desempenho:baixo, retencao:desconhecida, duracao:longa"
“Boys and girls” e muito mais: projeto da UFSCar interage com estudantes do Ensino Fundamental,"desempenho:baixo, retencao:desconhecida, duracao:media"
Quero saber - Gordofobia: é crime ou é bobagem?,"desempenho:baixo, retencao:boa, duracao:curta"
"Teaser Formaturas São Carlos 2024 - 27, 28 e 29/05/2024","desempenho:baixo, retencao:desconhecida, duracao:curta"
Sob o pôr do Sol - Vídeo 3,"desempenho:baixo, retencao:desconhecida, duracao:media"
XIII SEGRAD/UFSCar - Abertura | Inserção Curricular da extensão nos cursos de gradua...,"desempenho:baixo, retencao:desconhecida, duracao:longa"
"Max and his friends in: Discovering the Sea - Episode 3 – Hot wind, cold rain","desempenho:baixo, retencao:desconhecida, duracao:media"
Quero saber - Linguagem neutra é luta por direitos ou ataque à Língua Portuguesa?,"desempenho:baixo, retencao:desconhecida, duracao:longa"
"Inscrições abertas: Programa Doutorado Sanduíche no Exterior (PDSE), da Capes","desempenho:baixo, retencao:boa, duracao:curta"
Max and his friends in: Discovering the Sea - Episode 2 – Plastic on its way to the sea,"desempenho:baixo, retencao:desconhecida, duracao:longa"
"Conexão Federal: Futebóis, diversidade e inclusão, com Osmar Moreira de Souza Júnior","desempenho:baixo, retencao:desconhecida, duracao:longa"
Quero saber - Existem evidências científicas sobre a eficácia das PICs incluídas no SUS?,"desempenho:baixo, retencao:desconhecida, duracao:media"
74ª Reunião Ordinária do CoAd,"desempenho:baixo, retencao:desconhecida, duracao:longa"
