id_publicacao,Duração,Visualizações,Tempo de exibição (horas),Taxa de cliques de impressões (%),Continuaram assistindo (%),Inscritos,sucesso
Grupos da UFSCar é selecionado para apresentação sobre ciência em evento internacional,340.0,49,2.042,1.42,,2,0
Quero saber – O que é voyeurismo e o que isso tem a ver com reality shows?,59.0,221,2.0264,2.87,65.98,1,0
150ª Reunião do Conselho de Pós-Graduação | CoPG UFSCar,5642.0,8,2.0202,4.26,,0,0
Tutorial: como solicitar o uso do nome social na UFSCar,82.0,212,2.0132,7.25,,1,0
"Quero saber: Afinal de contas, quem causa a febre maculosa?",886.0,37,1.9923,6.05,,0,0
Eleição de representantes do CoGePe - Constituição das Urnas,993.0,31,1.9844,1.41,,0,0
VOCÊ NA UFSCAR – CONHEÇA OS CURSOS DA FEDERAL,80.0,154,1.9412,5.22,,0,0
UFSCar de Todos os Povos - Etnia Atikum,172.0,87,1.9359,3.93,,2,0
"Ciência UFSCar - Crise hídrica e matriz energética: Brasil em 2001, 2014, 2021, 2022...",5797.0,8,1.9256,0.41,,0,0
Quero Saber- Dia de Finados e Dia de los Muertos: o que colonizadores e a Igreja Católica tem a ver?,265.0,103,1.9177,1.66,,0,0
Quero saber – O que é a Síndrome de Burnout?,60.0,202,1.9136,0.82,58.33,0,0
9ª Reunião Ordinária do Conselho de Pessoas (CoGePe),9371.0,5,1.9119,0.0,,0,0
"Quero saber – O que aconteceu com o clima no Brasil, nos últimos 60 anos?",346.0,138,1.891,0.64,,0,0
Quero saber - Como é a trajetória do Brasil nos Jogos Paralímpicos?,297.0,48,1.8829,0.39,,0,0
EdUFSCar no Ar #12,4031.0,8,1.8695,3.16,,0,0
274ª Reunião Ordinária do Conselho Universitário | ConsUni UFSCar,11538.0,26,1.8655,4.32,,0,0
17ª Reunião Ordinária do Conselho de Gestão de Pessoas | CoGePe UFSCar,7691.0,17,1.829,1.64,,0,0
2ª Sessão da 1ª Reunião Extraordinária do Conselho de Extensão (CoEx) da UFSCar no ano de 2022,11204.0,8,1.8015,17.65,,0,0
UFSCar de Todos os Povos - Filippo Ghiglieno,230.0,58,1.8004,5.36,,0,0
Quero saber - Por que precisamos de profissionais de Gestão Ambiental?,260.0,67,1.8,2.42,,0,0
Quero saber - Halloween ou Dia do Saci?,60.0,210,1.7949,1.84,67.88,2,0
Biblioteca do Campus Lagoa do Sino ganha acervo de Raduan Nassar,237.0,54,1.7927,4.11,,1,0
270ª Reunião Ordinária  do Conselho Universitário (ConsUni),12706.0,32,1.7865,2.23,,0,0
Retorno total das atividades presenciais na UFSCar,328.0,66,1.7702,5.03,,1,0
"Quero saber - A população está envelhecendo, e agora?",385.0,46,1.7612,0.27,,0,0
Plataforma Alumni - Rede social criada para fortalecer a comunidade UFSCar completa um ano,143.0,125,1.7359,0.91,,1,0
Encontro Internacional de Ciência Política Computacional,225.0,129,1.7322,0.87,,0,0
Reunião Extraordinária do Conselho Universitário - 18/12 | ConsUni UFSCar,10113.0,14,1.7271,1.83,,0,0
T2 #9 - Pesquisa investiga acúmulo de mutações no DNA mitocondrial com a idade,1321.0,14,1.7271,1.71,,0,0
Quero saber - Como e por que a transfobia mata?,60.0,178,1.7246,1.34,47.85,0,0
Depoimento Ângela Lopes - Transformação,407.0,69,1.7073,9.93,,1,0
UFSCar inicia processo de renaturalização na região da transfederônica,59.0,286,1.702,1.86,64.21,1,0
Dossiê – Oceano em Risco – Entrevista com Dayana Moscardi,337.0,72,1.6796,0.86,,1,0
Por que e como publicar um livro científico por uma editora internacional?,60.0,170,1.6613,2.06,64.02,1,0
Ciência UFSCar - Satélites brasileiros: de CubeSats ao Amazônia-1,5692.0,12,1.6545,2.57,,0,0
VOCÊ NA UFSCAR – SAIBA COMO INGRESSAR NA UNIVERSIDADE,55.0,180,1.6536,8.95,,0,0
Anita Prestes visita a UFSCar e inaugura mostra sobre Olga e Luís Carlos Prestes,59.0,325,1.6449,1.27,58.85,0,0
Trilhas da Inovação - Ep.6 – Desenho industrial,370.0,55,1.6213,3.17,,0,0
75º Reunião Ordinária do Conselho de Assuntos Comunitários e Estudantis | CoACE  UFSCar,9880.0,21,1.611,6.6,,0,0
Feira do Livro EdUFSCar - Bate-papo com Aline Bei,3695.0,10,1.5567,5.79,,0,0
Idiomas sem Fronteiras - Espanhol,164.0,73,1.5562,4.41,,0,0
Quero saber - Fitoterápicos funcionam? Quais são vantagens e desvantagens?,304.0,42,1.5518,4.08,,0,0
HU-UFSCar inaugura 29 leitos de enfermaria e dez de UTI Pediátrica,269.0,52,1.5116,4.23,,1,0
Quero saber - O que é e como prevenir a Doença Pulmonar Obstrutiva Crônica?,60.0,148,1.4819,1.13,62.5,1,0
Quero saber - Esportes Paralímpicos,60.0,225,1.4668,1.07,44.17,0,0
Boletim de Oportunidades - Edital ProEx de Atividades Culturais 2025,102.0,125,1.4512,1.44,27.65,0,0
EdUFSCar No Ar #10,3851.0,9,1.4316,4.04,,0,0
Capacitismo não cabe na UFSCar,128.0,78,1.4272,2.14,,2,0
Quero saber - Quem decide qual paciente recebe um coração disponível para transplante?,723.0,29,1.3907,2.73,,0,0
Depoimento Nicholas Baladore - Transformação,337.0,44,1.3761,4.98,,0,0
"Conexão Federal: Internacionalização, com Márcio Weber Paixão",3497.0,32,1.3726,0.9,,0,0
"Aula Magna ""Ciência, Sonho e Construção de Futuro""",4457.0,15,1.3353,2.13,,0,0
#9 DIA INTERNACIONAL DAS MULHERES E MENINAS NA CIÊNCIA   ELISHA SILVA DE JESUS,1602.0,28,1.3328,7.35,,0,0
"Trilhas da Inovação - Ep.3 – Relatório, COEPI e INPI",344.0,33,1.3155,4.65,,1,0
"UFSCar cria variedades de alimentos e plantas, no campus Araras",387.0,36,1.3028,1.77,,1,0
Quero saber - O que é e como prevenir a Doença Pulmonar Obstrutiva Crônica?,556.0,25,1.2914,2.05,,1,0
Boletim de Oportunidades - Fábrica de Ideias,69.0,140,1.291,1.13,61.11,2,0
#14 – Estudo avalia riscos trazidos por obesidade abdominal e perda de força muscular em idosos,1457.0,11,1.2846,2.47,,0,0
Max y sus amigos en: Descubriendo el Mar - Episodio 2 – Plástico camino al mar,906.0,35,1.275,1.2,,0,0
UFSCar realiza Feira de Oportunidades,269.0,38,1.2723,4.16,,0,0
Formatura Campus São Carlos - CCET II - 28/05/2024,243.0,62,1.2634,10.0,,0,0
VOCÊ NA UFSCAR -  TEM RESERVA DE VAGAS?,126.0,63,1.2581,5.25,,0,0
275ª Reunião Ordinária do Conselho Universitário - continuação,13447.0,11,1.2379,1.76,,0,0
Anaí Floriano Vasconcelos,210.0,53,1.2314,1.65,,0,0
Depoimento Alex Kreibich - Transformação,432.0,26,1.229,2.83,,0,0
Quero saber - O ecoturismo é um modo diferente de fazer turismo?,189.0,34,1.1922,0.27,,0,0
Formatura Campus São Carlos - CECH I - 29/05/2024,211.0,64,1.189,0.0,,0,0
Idiomas sem Fronteiras - Português para Estrangeiros,195.0,54,1.1692,2.27,,2,0
Conexão Federal - Dor Crônica: Mariana Avila,3839.0,42,1.1543,1.83,,0,0
Quero saber - Como a medicina define a Síndrome de Burnout?,161.0,62,1.1512,1.87,,2,0
Formatura Campus São Carlos - CCET III - 28/05/2024,139.0,66,1.1359,0.0,,0,0
Acervos e coleções: do passado na memória a futuros diversos pela pesquisa e formação,5704.0,7,1.1298,1.85,,1,0
Depoimento Jéssica Athos - Transformação,373.0,35,1.1143,3.1,,0,0
UFSCar retoma realização presencial da colação de grau,216.0,52,1.1082,6.14,,0,0
Quero saber - A ciência já descobriu a fórmula da felicidade?,188.0,42,1.1072,1.83,,1,0
"Ana Beatriz de Oliveira, Reitora da UFSCar, fala sobre encontro com o Papa Francisco",60.0,186,1.0969,2.5,57.52,1,0
Trilhas da Inovação - Ep.4 – Licenciamento de tecnologias,398.0,35,1.0885,5.52,,0,0
"Max y sus amigos en: Descubriendo el Mar - Episodio 3 – Viento caliente, lluvia fría",750.0,31,1.0755,0.9,,0,0
Na Pauta #50,3610.0,17,1.0661,10.81,,0,0
Os estudantes da UFSCar precisam da sua ajuda!,303.0,45,1.0308,4.7,,0,0
Ricardo Cerri,393.0,46,1.0288,9.4,,0,0
Quero saber - De Aristóteles até a Psicologia Positiva: Como evoluiu a noção de felicidade?,137.0,30,1.0231,1.22,,1,0
Ciência UFSCar: Mudanças climáticas - impactos em águas e pastos,5477.0,19,1.0078,3.5,,0,0
EdUFSCar No AR #7,4206.0,16,1.0009,15.52,,0,0
VOCÊ NA UFSCAR – QUAIS SÃO AS NOTAS DE CORTE?,67.0,99,0.9949,9.73,,0,0
"Alumni UFSCar: Ângelo Fernando Padilha, formado em Engenharia de Materiais na UFSCar",85.0,64,0.9746,5.34,,0,0
UFSCar inaugura complexo de laboratórios,220.0,67,0.9728,7.39,,1,0
Trilhas da Inovação - Ep.8 – Programa de Computador,384.0,33,0.9726,3.67,,0,0
Quero Saber – Desenvolvimento sustentável: solução ou falácia?,60.0,82,0.9709,0.82,71.25,2,0
Combate à violência de gênero e cultura da paz: desafios para a universidade pública brasileira,7008.0,16,0.9662,4.65,,0,0
Reitoria e ProAd apresentam cenário orçamentário da UFSCar para 2024 e balanço de 2023,2034.0,17,0.9627,0.56,,0,0
Max e sus amigos - Descobriendo el mar: Episodio 1 - El mar que respiramos,755.0,51,0.9625,1.55,,0,0
Depoimento Fernanda Marciano – Transformação,292.0,48,0.9622,2.25,,1,0
"Alumni UFSCar: Edinaldo dos Santos Rodrigues, formado em Psicologia pela UFSCar.",241.0,57,0.9562,3.83,,1,0
"Luiz Antonio Pessan, professor da UFSCar, é o novo diretor de Programas e Bolsas no País da CAPES",360.0,44,0.9449,0.66,,0,0
Conheça o Núcleo de Pesquisa e Desenvolvimento em Tecnologia Assistiva do Campus Sorocaba da UFSCar,309.0,44,0.9422,3.17,,1,0
Depoimento Alice Agnes - Transformação,321.0,35,0.9391,2.44,,1,0
News - Boletim de Oportunidades #7,117.0,52,0.9368,2.34,,0,0
"Discriminação não cabe na UFSCar! Aprenda, ensine: violência é crime!",88.0,92,0.9139,4.17,,0,0
Laboratório da UFSCar desenvolve pesquisas sobre osteoartrite de joelho,452.0,29,0.9139,3.56,,0,0
Feira do Livro EdUFSCar - Palestra: Jorge Amado - Uma biografia,3620.0,6,0.9096,2.0,,0,0
30º Congresso de Iniciação Científica - UFSCar,715.0,42,0.8993,3.93,,0,0
Tutorial - Como participar do Guardiões da Saúde,238.0,57,0.8938,5.11,,1,0
T2 #6 - Linguística popular valoriza e torna mais acessíveis os saberes linguísticos de não especial,1470.0,7,0.8885,3.88,,0,0
Na Pauta #42,5420.0,2,0.8827,0.0,,0,0
Quero saber - O quê explica Tarcísio decidir não usar os livros distribuídos pelo Governo Federal?,365.0,25,0.8803,3.62,,0,0
"Alumni UFSCar: Rieli Tomaz da Silva, estudante do curso de Engenharia Agronômica da UFSCar",185.0,40,0.88,8.17,,0,0
"XII SEGRad - Abertura: Extensão Universitária na Graduação: história, diretrizes e experiências",10116.0,10,0.8792,5.45,,0,0
Laboratório de Talentos inspira meninas para trilharem seus caminhos profissionais,324.0,72,0.8774,1.52,,1,0
Eleição para discentes no CoG - Constituição das Urnas,538.0,33,0.8725,0.44,,0,0
#7 – Teste inédito pode ajudar a eliminar hanseníase,1359.0,12,0.8708,1.36,,0,0
65ª Reunião Ordinária do Conselho de Administração (CoAd),12215.0,10,0.8509,1.82,,0,0
"As possibilidades de Ensino, Pesquisa e Extensão Universitária a partir das experiências estudantis",5222.0,20,0.8436,3.28,,0,0
Quero saber - Como os comportamentos se manifestam?,288.0,25,0.8401,1.75,,1,0
Depoimento Lê Fernandes - Transformação,462.0,22,0.8372,5.34,,0,0
T2 #5 - Jogo educativo leva temática indígena para crianças de 5 a 10 anos,1628.0,13,0.8332,4.29,,1,0
"Quero saber - Acupuntura, fitoterápicos, aromaterapia: a que - e quem - servem as PICs no SUS?",59.0,96,0.8307,1.51,62.14,1,0
110ª Reunião Ordinária d Conselho de Graduação | CoG UFSCar,11920.0,48,0.8271,9.06,,1,0
Boletim de Oportunidades - Oportunidades em Um Minuto #2,142.0,65,0.8235,1.34,28.57,0,0
HU-UFSCar inaugura Unidade de Pesquisa Clínicas,240.0,35,0.8232,1.69,,0,0
Teaser Formaturas Sorocaba 2024 - 17/07,46.0,89,0.8211,0.0,,0,0
15 Anos da Rádio UFSCar,910.0,18,0.8096,2.91,,0,0
Boletim de Oportunidades – 3ª Chamada do Proeduca - Profa Tathiane Milaré,128.0,80,0.7935,1.0,23.67,0,0
#9 – Processo de financeirização da indústria automotiva ajuda a compreender saída da Ford do Brasil,1434.0,8,0.7926,4.17,,0,0
EMBRAPII E INOVAÇÃO NA UFSCar: O que é? Como fazer?,59.0,86,0.7815,1.66,61.76,0,0
EMBRAPII-UFSCar promove parceria entre Universidade e empresas,235.0,34,0.7786,5.0,,0,0
Formatura Campus Araras - CCA - 31/08/2024,356.0,46,0.7734,0.0,,0,0
"Fala, cientista! - Pesquisas Eleitorais - 04/12",97.0,56,0.7438,3.25,,1,0
"Marcus Vinicius Batista Nascimento, novo secretário da SAADE fala sobre  antirracismo da UFSCar",170.0,46,0.7339,1.65,,1,0
#5 – Maior parte da população brasileira é contrária ao fechamento do STF,1459.0,22,0.7302,3.19,,0,0
I Encontro Fonaprace Sudeste 2022 - Manhã,16638.0,6,0.7179,2.27,,0,0
Programa Capes/Brafitec apoia intercâmbio de estudantes de graduação entre Brasil e França,85.0,60,0.7104,5.15,,0,0
Quero saber - Admitir mudanças na língua que as pessoas falam é desestruturar a Língua Portuguesa?,649.0,18,0.7088,1.56,,0,0
275ª Reunião Ordinária do Conselho Universitário,10462.0,9,0.7069,3.98,,0,0
Boletim de Oportunidades - SBPC abre inscrições para o Prêmio Carolina Bori,68.0,70,0.7046,1.05,,0,0
Mesa redonda | Reforma psiquiátrica: desafios atuais para o SUS e para as universidades,7901.0,19,0.6992,4.11,,0,0
Quero saber - Genética da Conservação: o que é e para que serve?,60.0,92,0.6977,1.31,49.04,0,0
Teaser Formaturas UFSCar Araras 2024 - 31/08,74.0,50,0.6933,0.0,,0,0
Quero saber - O ecoturismo enquanto mercado. E agora?,218.0,24,0.6855,3.08,,0,0
Daiane Aparecida Zuanetti,207.0,50,0.684,7.41,,0,0
Trilhas da Inovação - Ep.9 – A Agência de Inovação da UFSCar,257.0,28,0.6791,2.68,,0,0
"Fala, cientista! - Pesquisas Eleitorais - 05/12",158.0,27,0.6779,4.97,,0,0
Formatura Campus São Carlos - CECH II - 29/05/2024,173.0,43,0.6742,8.33,,0,0
#4 DIA INTERNACIONAL DAS MULHERES E MENINAS NA CIÊNCIA   ANA CRISTINA JUVENAL DA CRUZ,1724.0,11,0.6688,3.14,,0,0
Conexão Federal - EdUFSCar : Oswaldo Truzzi e Wilson Alves-Bezerra,4014.0,21,0.6664,4.82,,0,0
Inclusão de colaboradores com deficiência nos Restaurantes Universitários da UFSCar,264.0,32,0.6657,5.15,,0,0
Trilhas da Inovação - Ep.7 – Cultivar,353.0,20,0.6607,3.51,,0,0
#19 - Diferentes linhagens de HIV e as políticas públicas de combate,1421.0,4,0.6597,1.83,,0,0
"Fala, cientista! - Pesquisas Eleitorais - 07/12",360.0,13,0.6526,2.84,,0,0
E o que Desenvolvimento Sustentável tem com as negociações para enfrentar a emergência climática?,388.0,27,0.6523,1.76,,1,0
"Ana Beatriz de Oliveira, Reitora da UFSCar, fala sobre os seis meses do lançamento do portal Alumni",261.0,41,0.6187,2.31,,1,0
Construindo a Política Cultural da UFSCar,5599.0,10,0.617,0.94,,0,0
"Sementes da Cultura Científica - Adilson de Oliveira, Departamento de Física",593.0,18,0.6169,0.09,,1,0
"Vida Universitária: o dia a dia acadêmico (ProGrad, SEaD, SIBi, SRinter, EDUFSCar)",5405.0,12,0.6167,3.97,,0,0
Práticas inovadoras no ensino de ciências e divulgação científica junto ao público infanto-juvenil,295.0,30,0.6114,5.92,,0,0
A homofobia não cabe na UFSCar,106.0,42,0.6088,1.07,,0,0
UFSCar de Todos os Povos - Lejzer Castro,155.0,38,0.5968,6.3,,0,0
Quero saber - Nascemos predispostos à felicidade ou é possível aprender a ser feliz?,178.0,29,0.5883,1.19,,0,0
14ª Reunião Extraordinária - CoGePe,145.0,39,0.5869,1.56,,0,0
Quero saber – Assédio: quais as faces desse mal?,746.0,10,0.5862,2.86,,0,0
EdUFSCar completa 30 anos de história,2006.0,7,0.5849,0.0,,0,0
Quero saber - Que mistérios - e crimes! - a Genética da Conservação ajuda a resolver?,435.0,13,0.5792,0.8,,1,0
#8 – Conheça o veleiro que viaja os oceanos do mundo fazendo pesquisa,1558.0,4,0.5764,0.0,,0,0
Quero saber - Por que a gordofobia causa sofrimento?,246.0,21,0.5749,4.4,,1,0
Quero saber - Não sou fluente em Inglês. Como vou publicar um livro por uma editora internacional?,236.0,24,0.5716,1.0,,0,0
Depoimento Augusta Neves - Transformação,329.0,16,0.5665,3.73,,0,0
Edital ProGrad Nº 20 de 8 de janeiro de 2024 traduzido em Língua Brasileira de Sinais,11873.0,64,0.5643,2.5,,0,0
Formatura Campus São Carlos - CCET I - 28/05/2024,103.0,56,0.5618,16.67,,0,0
UFSCar promove 1ª Feira da Visibilidade Trans e Travesti,266.0,41,0.5516,0.84,,0,0
Formatura Campus Sorocaba - CCGT - 17/07/2024,149.0,32,0.5507,0.0,,0,0
Alumni UFSCar - Conheça a nova página inicial,92.0,51,0.5409,1.43,,2,0
Calourada 2023,198.0,60,0.5398,9.13,,0,0
30 anos do projeto Trilha da Natureza da UFSCar,317.0,21,0.5385,6.06,,0,0
7a Semana dos Estudantes Indígenas da UFSCar,160.0,27,0.5264,7.35,,0,0
"Alumni UFSCar: Anna Cláudia Sentanin, formada em Fisioterapia na UFSCar",143.0,23,0.5236,3.52,,0,0
Depoimento Cae Pereira - Transformação,443.0,15,0.5203,0.72,,0,0
Quero saber: Como prevenir a febre maculosa?,241.0,31,0.5201,2.11,,0,0
"Racismo, homofobia, desigualdade e extermínio: os impasses da atuação do Estado",5508.0,19,0.5135,4.84,,0,0
"NIASE: 20 anos de sonhos, ciência e transformação social",8345.0,36,0.5116,12.73,,0,0
UFSCar sedia novo INCT em Biodiversidade e Uso Sustentável de Peixes Neotropicais,375.0,13,0.5042,2.11,,0,0
"Reitora, Ana Beatriz de Oliveira, participa de evento na Câmara Municipal de Sorocaba",33.0,119,0.5037,1.36,51.37,2,0
T2 #1 - Bioeconomia circular e a produção de materiais avançados,1412.0,15,0.501,4.31,,0,0
Avanços e desafios para além da Lei Maria da Penha,7813.0,12,0.4989,10.53,,0,0
“Ciência em Movimento” – cientistas da UFSCar e da USP divulgam suas pesquisas no transporte público,457.0,37,0.4934,1.05,,0,0
Viviane Melo de Mendonça,140.0,24,0.4829,2.21,,0,0
Francisco Coury,225.0,19,0.4754,6.86,,0,0
Edital 2023 - Eleição de representantes junto aos conselhos superiores | Apuração,1643.0,8,0.4686,1.99,,0,0
Reunião Extraordinária do Conselho Universitário | ConsUni UFSCar,11265.0,11,0.4681,8.62,,0,0
XII SEGRad - Curricularização da Extensão: experiências institucionais,11270.0,7,0.4673,2.86,,0,0
Quero saber – De onde surge e como se perpetua o machismo?,60.0,51,0.4671,1.18,44.29,1,0
Reunião Extraordinária do Conselho Uniersitário - 12/12 | ConsUni UFSCar,10393.0,14,0.4663,2.87,,0,0
Boletim de Oportunidades - Oportunidades em Um Minuto #1,104.0,42,0.4659,1.52,38.1,0,0
Alumni UFSCar - Como criar/ gerenciar Grupos - Comunidades,419.0,25,0.4657,0.0,,0,0
O Machismo não cabe na UFSCar!,128.0,23,0.4656,3.52,,0,0
Eleição de representantes do CoGePe - Apuração,471.0,13,0.4654,0.97,,0,0
Quero saber - Por que o Governo não produz seu próprio livro didático ?,368.0,12,0.4654,1.4,,0,0
UFSCar de todos os povos! Wéllima Timóteo de Lima - Estudante indígena da etnia Xukuru de Ororubá,77.0,28,0.4619,4.81,,1,0
UFSCar de Todos os Povos - Mamadú Saliu Djaló,113.0,27,0.4582,3.1,,1,0
"Quero saber: Afinal de contas, quem causa a febre maculosa?",255.0,12,0.4442,0.9,,0,0
O Racismo não cabe na UFSCar!,94.0,28,0.4416,5.96,,0,0
Pesquisa da UFSCar vence Prêmio Capes de Tese,46.0,74,0.4407,3.32,,0,0
Roberta Cerasi Urban,269.0,28,0.4393,4.84,,1,0
T2 #2 - Diferença entre mão direita e mão esquerda e a busca de vacinas mais eficazes,1078.0,33,0.4387,0.85,,0,0
UFSCar apresenta novidades na área de gestão ambiental e sustentabilidade,544.0,11,0.4374,2.46,,1,0
Alumni UFSCar - Como postar ou encontrar eventos,108.0,70,0.4368,,,0,0
NA PAUTA ENTREVISTA - OBSERVA SANCA,1680.0,8,0.4364,1.09,,0,0
"TBT Aula Magna da UFSCar com o Ministro dos Direitos Humanos e da Cidadania, Silvio Almeida",45.0,87,0.4308,1.19,51.97,0,0
Já está disponível o aplicativo Alumni UFSCar #shorts,59.0,62,0.43,0.46,55.56,1,0
Trilhas da Inovação - Ep.5 – Know-how,314.0,14,0.4296,2.38,,0,0
Depoimento Iago Costa - Transformação,302.0,30,0.429,1.85,,0,0
"Quero saber – Etarismo, quais suas origens e impactos?",167.0,17,0.427,1.13,,0,0
1ª Reunião Extraordinária do Conselho de Extensão (CoEx) da UFSCar do ano de 2023,14112.0,5,0.4233,7.55,,0,0
Quero saber - Mas eu ainda estou no começo da minha carreira na Ciência! Já posso publicar um livro?,331.0,40,0.423,1.24,,0,0
8º Congresso do Colégio dos Gestores da Comunicação das universidades federais | Dia 09.11 - Manhã,12808.0,7,0.4225,0.0,,0,0
Quero saber – Assédio: quais as faces desse mal?,60.0,39,0.4225,0.5,37.78,0,0
Formatura Campus São Carlos - CECH III - 29/05/2024,114.0,59,0.4176,0.0,,0,0
Depoimento Victória Ayumi - Transformação,254.0,26,0.4175,3.57,,0,0
Cerimônia de entrega do Título de Doutor Honoris Causa para Dermeval Saviani,334.0,18,0.4153,4.46,,0,0
30º Congresso de Iniciação Científica - UFSCar - Dia 13/11,241.0,35,0.4102,1.63,,0,0
UFSCar de todos os povos! Natalia Andrea Viana Bedoya - Professora do Dep. de Matemática da UFSCar,169.0,27,0.4098,2.2,,0,0
Equipe da Pró-Reitoria de Administração fala sobre desafios e conquistas nos dois anos de gestão,389.0,15,0.4047,3.19,,0,0
T2 #4 - Pesquisadores redescobrem espécie de perereca considerada extinta,1341.0,8,0.4043,3.85,,0,0
Quero saber - Estou sendo gordofóbico?,402.0,13,0.4032,1.02,,0,0
NEEDS da UFSCar cria Programa de Computador para mapear APP,364.0,10,0.396,2.98,,0,0
Reitoria esclarece sobre revogação de lista,1569.0,15,0.3913,0.48,,0,0
EdUFSCar no Ar #3,3558.0,11,0.3897,7.69,,0,0
Depoimento Marc Tristão - Transformação,277.0,14,0.3839,2.86,,0,0
#Mesa5 - UFSCar Marchando para Transformar Ciência em Qualidade de Vida,2316.0,8,0.3822,2.5,,1,0
Quero saber - Como prevenir a doença? E qual o papel das organizações?,207.0,39,0.3817,2.11,,0,0
"Conheça o trabalho da UAC, em atividade há 30 anos na UFSCar.",200.0,16,0.3799,4.23,,0,0
Dia de valorização da universidade pública,496.0,16,0.3786,2.33,,0,0
Equipe ProACE fala sobre ações de assistência durante a pandemia e novas conquistas em Saúde Mental,458.0,9,0.3778,3.94,,2,0
TBT 2ª Feira da Visibilidade Trans e Travesti na UFSCar,91.0,54,0.3775,1.6,,0,0
11ª Reunião Ordinária do Conselho de Gestão de Pessoas (CoGePe),10762.0,4,0.377,0.0,,0,0
Agroecologia: potencialidades e desafios,2224.0,5,0.3769,0.85,,0,0
Reitoria lança projeto UFSCar + 5 para elaboração do novo PDI,131.0,17,0.3741,3.86,,0,0
#1 – Fibra de PET reciclado pode ajudar no combate à Covid-19,1172.0,15,0.3719,1.54,,0,0
"Boletim de Oportunidades - Capes abre inscrições para a Cátedra Rio Branco, no King's College London",70.0,47,0.3702,1.75,35.0,0,0
Boletim de Oportunidades - Oportunidades em Um Minuto #3,111.0,57,0.3662,0.98,28.1,0,0
Quero saber - Porque a gravidade do quadro de saúde de Fausto Silva levou o coração até ele?,169.0,25,0.3653,1.16,,1,0
#6 DIA INTERNACIONAL DAS MULHERES E MENINAS NA CIÊNCIA   CAROLINA RODRIGUES DE SOUZA,2317.0,7,0.3637,1.15,,0,0
"Quero saber - Afinal, assistir ao BBB é um comportamento voyeurístico?",265.0,16,0.3596,1.9,,0,0
29º Congresso de Iniciação Científica e Tecnológica da UFSCar – CIC-CIDTI-CIC-EM/UFSCar,8694.0,18,0.3593,6.02,,0,0
Dia Mundial da Saúde - Aspectos epidemiológicos da varíola dos macacos,1292.0,3,0.3583,2.11,,0,0
150º Reunião Ordinária do Conselho de Extensão | CoEx UFSCar,7429.0,10,0.3576,3.45,,0,0
#8 DIA INTERNACIONAL DAS MULHERES E MENINAS NA CIÊNCIA   SAMARA SABINO,1507.0,6,0.3574,4.84,,0,0
Quero saber - Quais os benefícios da prática do ecoturismo?,107.0,24,0.3573,3.9,,0,0
